Player,Position,Team,Shot Index,PSA Index,Passing Index,Entry Index,Danger Pass Index,Danger Shot Index,Takeaways Index,Puck Recovery Index,Archetype
Shelly Picard,D,Olympic (Women) - United States,0.012475,0.007785,0.349038,0,0.001055,0.005181,0.016949,0.337092,Defensive
Shiann Darkangelo,F,Toronto Six,0.490909,0.496032,3.474177,0.517172,0.884367,0.313953,0.364325,2.01184,Playmaker
Sidney Morin,D,Olympic (Women) - United States,0.176048,0.03391,1.461603,0.017561,0.054008,0.001036,0.021186,0.802903,Defensive
Skylar Podvey,D,St. Lawrence Saints,0.413265,0.045455,1.805664,0.347826,0.011111,0.046512,0.272727,2.02935,Disruptor
Steph Keryluk,F,St. Lawrence Saints,0.326531,0.011364,1.063477,0.195652,0.277778,0.046512,0.030303,0.339623,Balanced
Stephanie Anderson,F,Minnesota Whitecaps,0.36,0.384091,1.929331,0.321608,0.325,0.4225,0.597682,0.92688,Balanced
Stephanie Voge,F,St. Lawrence Saints,0,0,0.001953,0,0,0,0,0.018868,Dependent
Susanna Tapani,F,Olympic (Women) - Finland,0.305556,0.611111,2.840246,1.13615,0.519231,0.675,0.340136,1.489414,Playmaker
Svetlana Tkachyova,D, Olympic Athletes from Russia,0,0,0.002222,0,0,0,0,0.002463,Defensive
Sydney Baldwin,D,Minnesota Whitecaps,1.137778,0.009091,5.102559,0.15201,0.017308,0.04,0.730132,4.087539,Two-Way
Sydney Brodt,F,Olympic (Women) - United States,0.035928,0.00692,0.010256,0.030488,0,0.023316,0.019068,0.02592,Dependent
Tanja Niskanen,F,Olympic (Women) - Finland,0.090909,0.020202,0.124424,0.115023,0,0.075,0.030612,0.196947,Dependent
Taylar Cianfarano,F,Clarkson Golden Knights,0.323529,0.117925,0.73125,0.847682,0.096386,0.477612,0.233766,0.625,Shooter
Taylor Marchin,D,Connecticut Whale,0.091241,0.010309,1.375182,0.021164,0.135593,0,0.122727,1.230009,Defensive
Taylor Sawka,F,Clarkson Golden Knights,0,0.004717,0.017308,0,0.006024,0,0.006494,0.002778,Dependent
Taylor Turnquist,D,Clarkson Golden Knights,1.257279,1.21174,8.436004,0.618837,0.433735,0.134328,0.698413,7.2,Two-Way
Taylor Wasylk,F,Buffalo Beauts,0.190678,0.008475,0.298998,0.087413,0.120536,0.034483,0.024606,0.277759,Dependent
Taylor Wenczkowski,F,Boston Pride,0.393921,0.040455,0.881438,0.153659,0.042078,0.298578,0.047816,0.643572,Balanced
Taylor Woods,F,Toronto Six,0.668182,0.134127,3.040357,0.20202,0.078165,0.117248,0.134986,3.099069,Playmaker
Taytum Clairmont,F,Toronto Six,0.064015,0.155556,0.876568,0.244444,0.109173,0.096899,0.083333,0.45426,Balanced
Tereza Vanisova,F,Boston Pride,0.273556,0.5689,1.743708,1.254355,0.531948,0.270819,0.170602,1.069124,Shooter
Theresa Knutson,F,Metropolitan Riveters,0.514056,0.189922,0.673028,0.363441,0.443223,0.300469,0.063131,0.43593,Shooter
Tia Stoddard,F,Clarkson Golden Knights,0.066845,0.018868,0.232692,0.003311,0.024096,0.029851,0.058442,0.250694,Dependent
Tori Howran,D,Connecticut Whale,0.205596,0.343643,2.878149,0.08642,0.101695,0,0.341414,2.425876,Disruptor
Tori Sullivan,F,Boston Pride,0.051368,0.18268,0.606152,0.078397,0.042078,0.067705,0.115702,0.267281,Dependent
Valeria Pavlova,F, Olympic Athletes from Russia,1.220339,0,0.444444,1.16129,0.03125,2.25,0.077586,0.769704,Shooter
Venla Hovi,F,Olympic (Women) - Finland,0.063131,0.005051,0.345622,0.150235,0.102564,0.008333,0.166667,0.283604,Dependent
Victoria Bach,F,Olympic (Women) - Canada,0.017725,0.003518,0.056333,0.070636,0.021872,0.004505,0.074792,0.056889,Dependent
Viivi Vainikka,F,Olympic (Women) - Finland,0.003788,0.068182,0.046659,0.03169,0,0,0.045918,0.047267,Dependent
Viktoria Kulishova,F, Olympic Athletes from Russia,0,0,0.055556,0.016129,0.0625,0,0.017241,0.061576,Dependent
Whitney Dove,D,Buffalo Beauts,0.29887,0.035311,2.195994,0.210373,0.024802,0.005747,0.147638,2.445583,Disruptor
Winny Brodt-Brown,D,Minnesota Whitecaps,0.027778,0.009091,0.574016,0.031407,0.007692,0,0.081126,0.593203,Defensive
Yekaterina Likhachyova,F, Olympic Athletes from Russia,0,0,0.008889,0.016129,0,0,0,0.039409,Dependent
Yekaterina Lovova,D, Olympic Athletes from Russia,0.008475,0.02381,0.871111,0,0,0,0.137931,0.444581,Defensive
Yekaterina Nikolayeva,D, Olympic Athletes from Russia,0.008475,0,2.054444,0,0.03125,0,0.215517,1.685961,Defensive
Yekaterina Smolina,F, Olympic Athletes from Russia,0.033898,0.02381,0.217778,0.129032,0,0,0.215517,0.315271,Dependent
Yelena Dergachyova,F, Olympic Athletes from Russia,0.076271,0.095238,1.137778,0.395161,0.28125,0.111111,0.137931,1.108374,Balanced
Yevgenia Dyupina,F, Olympic Athletes from Russia,0.033898,0,0.071111,0.032258,0,0,0,0.399015,Dependent
Zoe Hickel,F,Olympic (Women) - United States,0,0.001153,0.006838,0.007317,0.001406,0,0.001412,0.002765,Dependent
